aba_number,address,state,phone_number,bank
071923695,"5TH FLOOR, CHICAGO, IL - 60606",IL,855-259-8521,BMO HARRIS 
271250647,"5TH FLOOR, CHICAGO, IL - 60606",IL,312-461-2918,BMO HARRIS 
071904627,"5TH FLOOR, CHICAGO, IL - 60606",IL,855-259-8521,BMO HARRIS 
071925224  071000288,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075012531,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075000734,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
074913233,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
074912807,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
074903890,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
074902215,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071926320,"1200 E. WARRENVILLE RD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075902065,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071925062,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071924898,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071924089,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071924005,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071923747,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071923543,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075017947,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071922968,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075902625,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075903527,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075904115,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075904937,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075905431,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075906595,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075912233,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
075912644,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
081303823,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
271972381,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
274970801,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
275071314,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
275970826,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071909198,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071104430,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071106250,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071900456,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071900595,"1200 E. WARRENVILLE RD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071900825,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071902797,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071903136,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071904355,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071904371,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071904478,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071905040,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071905846,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071906573,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071908021,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071908869,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071102995,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071911416,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071911584,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071912813,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071913650,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071918150,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071918309,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071919463,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071920656,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071921176,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071921396,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071921697,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071921794,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071922227,"1200 E. WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
071922696,"1200 E WARRENVILLE ROAD, NAPERVILLE, IL - 60563",IL,855-259-8521,BMO HARRIS 
241075386,"4319 STATE ROAD, CLEVELAND, OH - 44109",OH,216-749-0583,RTA BROOKLYN FCU 
241282276,"5138 SUMMIT STREET, TOLEDO, OH - 43611",OH,419-729-9650,PARISH FEDERAL CREDIT UNION 
325183291,"1825 SOUTH 316TH STREET, FEDERAL WAY, WA - 98003",WA,253-925-6800,WOODSTONE CU 
073921530,"2650 4TH ST S W, MASON CITY, IA - 50401",IA,641-423-7638,NSB BANK 
261173433,"593 RUSSELL PKWY., WARNER ROBINS, GA - 31088",GA,478-929-5700,COMBINED EMPLOYEES CU 
111000753,"P O BOX 75000, DETROIT, MI - 48275",MI,800-581-9857,COMERICA BANK 
122242607,"5611 PALMER WAY SUITE G, CARLSBAD, CA - 92008",CA,800-745-2426,WELLS FARGO BANK 
062203751,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
111015159,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
102307164,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
067091780,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-841-8893,WELLS FARGO BANK 
067013564,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
067006432,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
064003768,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
063210125,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
063109430,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
063107513,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
063000021,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,704-590-0500,WELLS FARGO BANK 
111025013,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
062000080,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
061209756,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
061113279,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
061103056,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
061101155,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
061000256,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
061000227,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
061000010,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-841-8893,WELLS FARGO BANK 
011100106,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
121141534,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
256072701,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
255072935,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
254070019,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
253170305,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
122487307,"255 2ND AVENUE SOUTH MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
122287170,"255 2ND AVENUE SOUTH MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
122237955,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
122187076,"255 2ND AVENUE SOUTH MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
121181866,"255 2ND AVENUE SOUTH MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
056007604,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
121141288,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,888-433-8209,WELLS FARGO BANK 
113117767,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
113105449,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
113102138,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
113024520,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
113017870,"255 SECOND AVE., MINNEAPOLIS, MN - 55479",MN,612-667-8051,WELLS FARGO BANK 
111909634,"255 SECOND AVE., MINNEAPOLIS, MN - 55479",MN,612-667-8051,WELLS FARGO BANK 
111904215,"255 2ND AVENUE SOUTH, MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
111900659,"255 2ND AVE SOUTH, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
031201467,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053000183,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
052001963,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
052000016,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
051404985,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
051402961,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
051400549,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
051006778,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,804-965-8641,WELLS FARGO BANK 
051001414,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
051000253,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
031901686,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053000219,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
031200730,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
031100869,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
031100225,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
031000503,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
031000011,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
026012881,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
021201011,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
021200559,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
021200025,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
021101108,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053108580,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
055003201,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
054001220,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
054000807,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053901473,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053900225,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053207766,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053200019,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053110400,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053110303,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053110112,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
056004089,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053107963,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053107633,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053101626,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053101561,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053101529,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053100494,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
053100355,"MAC N9301-041, MINNEAPOLIS, MN - 55479",MN,800-745-2426,WELLS FARGO BANK 
101089292,"MC- NC 6024, WINSTON-SALEM, NC - 27101",NC,800-745-2426,WELLS FARGO BANK 
102189285,"MC: NC 6024, WINSTON-SALEM, NC - 27101",NC,800-745-2426,WELLS FARGO BANK 
272484195,"478 N THIRD ST, ROGERS CITY, MI - 49779",MI,989-734-4130,CALCITE CREDIT UNION 
303184898,"916 W. GORE BLVD, LAWTON, OK - 73501",OK,580-353-3755,COMANCHE COUNTY FCU 
065204579,"1611 ELTON ROAD, JENNINGS, LA - 70546",LA,337-824-1422,JD BANK 
325072166,"SUITE 108, SEATAC, WA - 98188",WA,206-824-9800,ALASKA AIR GROUP FCU 
103105213,"P O BOX 579, PERKINS, OK - 74059",OK,405-547-2436,PAYNE COUNTY BANK 
291075103,"8111 LYNDALE AVE SO, BLOOMINGTON, MN - 55420",MN,952-887-8041,TORO EMPLOYEES FED CR UN 
107001960,"P O BOX 578, FORT COLLINS, CO - 80522",CO,970-482-4861,FIRST NATIONAL BANK 
107003353,"P O BOX 578, FORT COLLINS, CO - 80522",CO,970-482-4861,FIRST NATIONAL BANK 
063104312,"3000 HWY 19A, MOUNT DORA, FL - 32757",FL,352-383-2111,FIRST NATIONAL BANK 
061202245,"626 LIBERTY STREET, WAYNESBORO, GA - 30830",GA,706-554-8100,FIRST NATIONAL BANK 
091212179  073905912,"1307 E 7TH ST, ATLANTIC, IA - 50022",IA,712-243-2244,FIRST NATIONAL BANK 
104904882,"323 E 7TH ST., LOGAN, IA - 51546",IA,712-644-2310,FIRST NATIONAL BANK 
073904890,"PO BOX 325, MANNING, IA - 51455",IA,712-655-3557,FIRST NATIONAL BANK 
073907855,"PO BOX 68, PRIMGHAR, IA - 51245",IA,712-957-2615,FIRST NATIONAL BANK 
073915520,"101 EAST MAIN ST, REMBRANDT, IA - 50576",IA,712-286-5491,FIRST NATIONAL BANK 
073910237,"801 S. FREMONT, SHENANDOAH, IA - 51601",IA,712-246-5118,FIRST NATIONAL BANK 
073922940,"316 E BREMER AVE, WAVERLY, IA - 50613",IA,319-352-1340,FIRST NATIONAL BANK 
073902766,"316 EAST BREMER AVENUE, WAVERLY, IA - 50677",IA,319-352-1340,FIRST NATIONAL BANK 
081211300,"301 E MAIN ST, ALLENDALE, IL - 62410",IL,618-299-4411,FIRST NATIONAL BANK 
081220087  081211300,"301 E MAIN ST, ALLENDALE, IL - 62410",IL,618-299-4411,FIRST NATIONAL BANK 
081211928,"P.O. BOX 310, BROWNSTOWN, IL - 62418",IL,618-427-3363,FIRST NATIONAL BANK 
081205222,"115 N WALNUT ST, CARMI, IL - 62821",IL,618-382-4118,FIRST NATIONAL BANK 
081903524,"324 N STATE ST, LITCHFIELD, IL - 62056",IL,217-324-2105,FIRST NATIONAL BANK 
081914775  071126955,"511 LAKE LAND BLVD, MATTOON, IL - 61938",IL,217-234-6430,FIRST NATIONAL BANK 
081905344,"210 S MAIN ST, PINCKNEYVILLE, IL - 62274",IL,618-357-9393,FIRST NATIONAL BANK 
081909146,"P.O. BOX 469, RAYMOND, IL - 62560",IL,217-229-3701,FIRST NATIONAL BANK 
081905069,"P.O. BOX 377, SPARTA, IL - 62286",IL,618-443-2187,FIRST NATIONAL BANK 
081904015,"115 SOUTH ELM, STAUNTON, IL - 62088",IL,618-635-2234,FIRST NATIONAL BANK 
081205112,"432 W GALLATIN STREET, VANDALIA, IL - 62471",IL,618-283-1141,FIRST NATIONAL BANK 
081017478,"PO BOX 507, WATERLOO, IL - 62298",IL,618-939-6194,FIRST NATIONAL BANK 
074907126,"302 S MAIN STREET, CLOVERDALE, IN - 46120",IN,765-795-4221,FIRST NATIONAL BANK 
101101866,"101 E. MAIN, BELOIT, KS - 67420",KS,785-738-2251,FIRST NATIONAL BANK 
101106560,"105 EAST LONG, DIGHTON, KS - 67839",KS,620-397-5324,FIRST NATIONAL BANK 
101102548,"202 E 11TH STREET, GOODLAND, KS - 67735",KS,785-890-2000,FIRST NATIONAL BANK 
101113841,"P O BOX 6, HARVEYVILLE, KS - 66431",KS,785-589-2341,FIRST NATIONAL BANK 
101114031,"PO BOX 67, HOPE, KS - 67451",KS,785-366-7225,FIRST NATIONAL BANK 
